role,latitude,longitude,height,date_time,person_id
Cycle Courier,51.500669,-0.073736,38.59,2012-12-10 09:57:38,7
Cycle Courier,51.500714,-0.073737,43.4,2012-12-10 09:57:43,7
Cycle Courier,51.500854,-0.074286,41.47,2012-12-10 09:57:52,7
Cycle Courier,51.501164,-0.075245,32.34,2012-12-10 09:58:05,7
Cycle Courier,51.501709,-0.076337,27.05,2012-12-10 09:58:20,7
Cycle Courier,51.502362,-0.077334,26.09,2012-12-10 09:58:36,7
Cycle Courier,51.502459,-0.077606,22.73,2012-12-10 09:58:43,7
Cycle Courier,51.502548,-0.07748,21.77,2012-12-10 09:58:48,7
Cycle Courier,51.502933,-0.07716,25.61,2012-12-10 09:58:59,7
Cycle Courier,51.503619,-0.076613,27.05,2012-12-10 09:59:15,7
Cycle Courier,51.503772,-0.076548,28.02,2012-12-10 09:59:18,7
Cycle Courier,51.504621,-0.075995,22.25,2012-12-10 09:59:36,7
Cycle Courier,51.505203,-0.075567,17.92,2012-12-10 09:59:51,7
Cycle Courier,51.505804,-0.075185,12.63,2012-12-10 10:00:04,7
Cycle Courier,51.506524,-0.07472,16.96,2012-12-10 10:00:18,7
Cycle Courier,51.507241,-0.074364,16.96,2012-12-10 10:00:32,7
Cycle Courier,51.508111,-0.074161,18.88,2012-12-10 10:00:46,7
Cycle Courier,51.50886,-0.073931,21.29,2012-12-10 10:00:59,7
Cycle Courier,51.509036,-0.073876,26.57,2012-12-10 10:01:09,7
Cycle Courier,51.509269,-0.07383,27.53,2012-12-10 10:01:46,7
Cycle Courier,51.509445,-0.073782,28.5,2012-12-10 10:01:49,7
Cycle Courier,51.509709,-0.073596,28.98,2012-12-10 10:01:53,7
Cycle Courier,51.509858,-0.073447,29.46,2012-12-10 10:01:56,7
Cycle Courier,51.510046,-0.073238,28.02,2012-12-10 10:02:01,7
Cycle Courier,51.510236,-0.07262,23.21,2012-12-10 10:02:09,7
Cycle Courier,51.510356,-0.071342,18.88,2012-12-10 10:02:22,7
Cycle Courier,51.510701,-0.069737,15.52,2012-12-10 10:02:37,7
Cycle Courier,51.510758,-0.06939,14.56,2012-12-10 10:02:42,7
Cycle Courier,51.510944,-0.06864,20.32,2012-12-10 10:02:58,7
Cycle Courier,51.510977,-0.068245,24.17,2012-12-10 10:03:16,7
Cycle Courier,51.510963,-0.067778,24.17,2012-12-10 10:03:21,7
Cycle Courier,51.511057,-0.066416,22.73,2012-12-10 10:03:35,7
Cycle Courier,51.51118,-0.064532,24.65,2012-12-10 10:03:53,7
Cycle Courier,51.511173,-0.062923,20.81,2012-12-10 10:04:09,7
Cycle Courier,51.511113,-0.061544,16.96,2012-12-10 10:04:22,7
Cycle Courier,51.511079,-0.061173,16,2012-12-10 10:04:30,7
Cycle Courier,51.511174,-0.061045,16.48,2012-12-10 10:04:35,7
Cycle Courier,51.511547,-0.061114,22.25,2012-12-10 10:04:42,7
Cycle Courier,51.511685,-0.061182,23.21,2012-12-10 10:04:45,7
Cycle Courier,51.512523,-0.061305,34.74,2012-12-10 10:04:58,7
Cycle Courier,51.512678,-0.061303,37.63,2012-12-10 10:05:01,7
Cycle Courier,51.51338,-0.061495,46.28,2012-12-10 10:05:15,7
Cycle Courier,51.514109,-0.061713,45.8,2012-12-10 10:05:28,7
Cycle Courier,51.514611,-0.061768,44.84,2012-12-10 10:05:41,7
Cycle Courier,51.514769,-0.061753,39.55,2012-12-10 10:06:41,7
Cycle Courier,51.51479,-0.060497,35.23,2012-12-10 10:06:54,7
Cycle Courier,51.514739,-0.059329,28.98,2012-12-10 10:07:06,7
Cycle Courier,51.514757,-0.058726,28.98,2012-12-10 10:07:16,7
Cycle Courier,51.514687,-0.058076,27.53,2012-12-10 10:07:26,7
Cycle Courier,51.514495,-0.056741,26.57,2012-12-10 10:07:41,7
Cycle Courier,51.514443,-0.056509,25.61,2012-12-10 10:07:44,7
Cycle Courier,51.514413,-0.056239,24.17,2012-12-10 10:07:53,7
Cycle Courier,51.514328,-0.056319,25.61,2012-12-10 10:08:06,7
Cycle Courier,51.514361,-0.056616,28.02,2012-12-10 10:08:26,7
Cycle Courier,51.51434,-0.056614,28.02,2012-12-10 10:09:49,7
Cycle Courier,51.514199,-0.056645,28.5,2012-12-10 10:10:07,7
